siren,nom_complet,etat_administratif,activite_principale,nature_juridique,section_activite_principale,est_association,est_ess,date_creation,date_fermeture,libelle_commune,code_postal,region,latitude,longitude,adresse
438607954,RAID NATURE PATRIMOINE GASTRONOMIE,A,93.12Z,9220,R,True,True,2001-05-26,,GRENOBLE,38000,84,45.186976,5.705203,Rue Georges Jacquet 38000 Grenoble
348599879,DAUPHINE GASTRONOMIE,C,57.04,5499,,False,False,1988-10-01,1989-07-01,GRENOBLE,38000,84,45.172014,5.722707,Rue des Alliés 38100 Grenoble
438908980,GROUPEMENT DU GRATIN DUAPHINOIS,A,94.99Z,9220,S,True,True,1999-03-22,,GRENOBLE,38000,84,45.184655,5.706471,3 Rue de Belin 38000 Grenoble
352987721,COM INTERPROFESSIONNEL NOIX GRENOBLE (CING),A,94.11Z,8420,S,False,False,1989-09-01,,CHATTE,38160,84,45.1367,5.307285,Chemin de Seilleres 38160 Chatte
352973895,GROUP REGION PROUC NOIX GRENOBLE,A,94.11Z,8420,S,False,False,1989-09-01,,CHATTE,38160,84,45.139469,5.298722,Zone Industrielle la Gloriette 38160 Chatte
891282915,RAVIOLE,A,94.99Z,9220,S,True,False,2020-11-11,,GRENOBLE,38000,84,45.187743,5.717789,25 Rue Gabriel Péri 38000 Grenoble
845063668,LA COMPAGNIE LES POMMES DAUPHINES ET TOUT LE GRATIN,A,90.01Z,9220,R,True,True,2007-01-16,,SAINT-ETIENNE-DE-CROSSEY,38960,84,45.378989,5.64561,134 Rue de la Mairie 38960 Saint-Étienne-de-Crossey
352543938,LE PETIT GRATIN DAUPHINOIS,C,55.5A,9220,I,True,False,1989-10-11,1999-01-21,DAUPHIN,04300,93,43.898786,5.780733,Chemin de Bertrand 04300 Dauphin
429590565,TOUT UN FROMAGE,A,47.29Z,5499,G,False,False,2000-02-21,,GRENOBLE,38000,84,45.188268,5.711774,99 Cours Berriat 38000 Grenoble
500158134,LE REFUGE DU FROMAGER,C,47.11B,5499,G,False,False,2007-10-15,2014-12-31,CLELLES,38930,84,44.830449,5.605047,Zone Artisanale La Croizette 38930 Clelles
488335910,FROMAGES  SAVEURS & COMPAGNIE...,C,47.29Z,5499,G,False,False,2006-02-28,2013-05-31,GRENOBLE,38000,84,45.190777,5.731087,19 Place Sainte Claire 38000 Grenoble
435143466,LA FOURMI A MIEL,C,55.3A,5499,I,False,False,2001-03-23,2005-07-18,GRENOBLE,38000,84,45.190848,5.722204,10 Rue Docteur Mazet 38000 Grenoble
381977289,SARL GRENOBLE SAVEUR ET FRAICHEUR,C,46.31Z,5499,G,False,False,1991-04-02,2025-06-20,GRENOBLE,38100,84,45.172329,5.71753,117 Rue des Alliés 38100 Grenoble
534545678,FRUITS ET LEGUMES DE L ILE,A,47.21Z,5499,G,False,False,2011-10-04,,GRENOBLE,38000,84,45.196962,5.735406,65 Rue Bizanet 38000 Grenoble
431671700,GASTRONOMIE DAUPHINOISE,A,55.5D,5499,I,False,False,2000-06-01,,LYON,69008,84,45.737364,4.866068,320 Avenue Berthelot 69008 Lyon
822754461,JEROME DAUPHIN (CUISINE DAUPHINOISE),A,56.21Z,1000,I,False,False,2016-07-14,,LE TOUVET,38660,84,45.349219,5.945924,1756 Route Nationale 90 38660 Le Touvet
981682388,LA CARAQUE CONFISEUR CHOCOLATIER,A,10.82Z,5499,C,False,False,2023-11-14,,GRENOBLE,38000,84,45.187253,5.718433,56 Cours Jean Jaurès 38000 Grenoble
